Ontology 1 (https://w3id.org/fuskg/activity),Relation,Ontology 2 (http://webprotege.stanford.edu/project/B1YA5aP4fTfTaBBx7flwQP)
https://w3id.org/fuskg/activity#PhysicalActivity,=,http://webprotege.stanford.edu/project/B1YA5aP4fTfTaBBx7flwQP#PhysicalActivity
https://w3id.org/fuskg/activity#Occupation,=,http://webprotege.stanford.edu/project/B1YA5aP4fTfTaBBx7flwQP#OccupationFactor
